time,Vswe,Tswe,nswe,BmagMFI,BxMFI,ByMFI,BzMFI,Vmom,Tmom,nmom,BmagFGM,BxFGM,ByFGM,BzFGM,MPAUSEdistance,BowShockDistance,DynamicPressure
2008-08-12 20:21:45,551.1433069810428,117793.0,2.0286,1.27675,0.24575,-1.0495,-0.5357500000000001,20.808510681181684,41865871.77327748,0.2010609425,46.40564500000001,12.6015005,3.8441527600000014,44.423495,9.413803156620324,12.002599024690912,2.05812602091034
2008-08-12 20:22:45,553.5271123955898,112173.0,1.7221,1.52475,0.17075,-1.29,-0.5369999999999999,31.852809031658744,42275328.50340699,0.2039850155,44.09305,10.62065,1.5173959,42.757979999999996,9.66043468593743,12.317054224570224,1.7623113144699307
2008-08-12 20:23:55,556.0271027539934,106875.0,1.7996,1.929,0.4980000000000001,-0.191,-1.82225,25.87213573171278,37616891.29015879,0.2389652925,44.57433999999999,10.455175,1.882015,43.28852500000001,9.575424682108967,12.20866646968893,1.8582937816882632
2008-08-12 20:24:55,551.4473238379164,109233.0,2.15,2.114,0.7485,0.8459999999999999,-1.62925,29.002250755496178,29973624.46425639,0.2754073334999999,46.09844500000001,11.415301,2.347195,44.57235000000001,9.321338395233326,11.88470645392249,2.183700098101208
2008-08-12 20:26:05,552.3424353433294,114110.0,1.8139,2.189,1.05775,1.26975,-1.4205,82.75516100149666,18402078.07867036,0.51149852,46.863455,9.86554,3.81963432,45.59083,9.58401906036898,12.219624301970448,1.8483177259097632
2008-08-12 20:27:05,551.1140142710943,110040.0,1.8378,2.18,1.11,1.0905,-1.52125,77.19825602031395,18594367.17555298,0.986618368,45.51915999999999,12.515272499999998,0.2388488000000001,43.66864,9.570232813169254,12.2020468367908,1.8643507581016832
2008-08-12 20:28:05,547.2575741376265,118755.0,1.7416,2.2015,1.0695,0.91825,-1.685,99.05046393227032,18006957.972546328,0.5814757665000001,46.25786,13.693995,-0.5620978,44.122225,9.679004669457644,12.340730953558495,1.7421215172197289
2008-08-12 20:29:15,550.2556507460873,115804.0,1.6989,2.3592500000000003,1.422,0.6369999999999999,-1.75625,18.582116074717323,46711749.96210633,0.193814152,43.58091,11.374330000000002,1.7501956500000002,42.026255,9.701447904938666,12.369346078796802,1.7180796961016362
2008-08-12 20:30:15,551.3751632509394,117367.0,1.8297,2.1130000000000004,1.24975,0.478,-1.58475,24.682647260737873,46272633.35932921,0.19234710550000006,43.393705,10.3169295,1.7854575,42.109895,9.575768714199619,12.209105110604515,1.85789323612714
2008-08-12 20:31:25,550.5688545804239,117826.0,1.8162,1.92375,1.3265,-0.65325,-1.2095,29.487355146535435,30967505.2421616,0.27102089100000004,43.99279000000001,11.299665,0.86345155,42.498015,9.592273148364539,12.230148264164786,1.8387954396187165
2008-08-12 20:32:25,551.1553857035237,119049.0,2.0287,1.7690000000000001,1.2745,-0.79425,-0.92025,32.775883639785285,32049555.298383664,0.2360392295,43.3938,10.746927499999998,1.43562585,41.97988500000001,9.413657047844428,12.002412736001643,2.058317692610636
2008-08-12 20:33:25,551.2273767158157,113709.0,1.9169,1.753,1.27075,-1.04175,-0.50725,43.19571227115553,29128317.83561147,0.2505965525,43.24285,9.826838,3.1999503,41.919109999999996,9.50260170710374,12.115817176557266,1.9453935944469758
2008-08-12 20:34:35,550.1435304481912,129988.0,1.9371,1.80175,1.213,-1.18575,0.5165,43.19787633313881,31323804.51575995,0.2301989610000001,45.14755000000001,11.1740565,3.9810855,43.459534999999995,9.492239457455009,12.102605308255134,1.9581706109084265
2008-08-12 20:35:35,552.3003400342968,137774.0,2.0939,1.48375,1.26125,-0.629,-0.1115,121.34339153172891,15749823.60489742,1.5825022885,40.69893500000001,10.315217500000001,-3.3745439000000004,37.338925,9.357681715242414,11.931044186934075,2.1333053618814524
2008-08-12 20:36:45,548.6706351664905,114932.0,1.8136,1.6235,0.7240000000000001,0.2735,-1.08075,38.69687349851282,31277581.531680897,0.2098839675,45.143095,12.192135,3.25831885,43.27916000000001,9.605615654237337,12.247159959152606,1.823523685653497
2008-08-12 20:37:45,554.5199535345865,108816.0,1.8828,2.0355000000000003,0.9229999999999999,0.27875,-1.78025,34.90785711634087,26926341.93749465,0.2551255625000001,44.775825,12.661235,1.6076937999999998,42.89489,9.512170030483263,12.128016788866162,1.9336818141151195
2008-08-12 20:38:45,555.646230443436,112639.0,1.903,1.92375,0.6685,0.514,-1.6465,34.96891862334074,21921818.29202539,0.278504239,44.58356,11.178984500000002,2.6320532,43.034595,9.488846915961458,12.098279817850855,1.962374988383205
2008-08-12 20:39:55,559.2117465933634,123565.0,1.9633,1.8105,0.32675,0.52125,-1.6865,86.72842261447309,24545988.94959051,0.303357585,44.48844000000001,12.283055,0.5178418,42.71819000000001,9.419535548742084,12.009907824646158,2.050622434153213
2008-08-12 20:40:55,556.1436040934033,106779.0,1.6934,1.82275,0.18675,0.4285,-1.731,181.06719282915265,16120061.650187893,3.693658017,25.6448135,4.85234652,3.705267199999999,13.111186500000002,9.672315496879367,12.332202258521194,1.7493629175521763
